SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1099.95,1112.00,1081.25,1088.75,1088.75,1093.70,746,4823,5290438.00,
500003,AEGIS LOGIS ,B ,Q,440.25,464.40,433.15,461.50,461.50,443.80,4374,31777,14448949.00,
500008,AMAR RAJA BA,A ,Q,752.75,776.00,748.20,772.80,772.80,749.25,2218,30237,23220994.00,
500009,A.SARABHAI  ,B ,Q,4.95,5.30,4.95,5.04,5.04,5.21,50,5437,27790.00,
500010,HDFC        ,A ,Q,1152.00,1164.40,1141.00,1152.30,1152.30,1157.50,2505,42121,48469526.00,
500012,ANDHRA PETRO,B ,Q,8.81,9.20,8.75,8.90,8.90,8.75,163,28094,253131.00,
500013,ANSAL INFRAS,B ,Q,32.00,32.30,30.75,31.30,31.30,32.35,464,30498,953884.00,
500014,APPLE FINANC,B ,Q,3.00,3.36,2.93,3.08,3.10,3.12,67,17026,54223.00,
500020,BOM DYEING  ,B ,Q,69.80,70.00,68.50,68.85,68.85,69.75,2214,207660,14345048.00,
500023,ASIANHOTNR  ,B ,Q,118.00,119.90,118.00,118.40,118.40,117.70,23,351,41551.00,
500024,ASSAMCO     ,B ,Q,4.67,4.72,4.52,4.54,4.54,4.59,355,104112,477823.00,
500027,ATUL LTD.   ,A ,Q,1289.50,1289.50,1258.85,1264.95,1264.95,1275.60,816,24883,31525032.00,
500028,ATV PROJECTS,T ,Q,3.51,3.74,3.51,3.52,3.51,3.67,54,6784,23852.00,
500029,AUTOLITE(I) ,B ,Q,37.00,40.00,35.10,36.30,36.50,36.90,87,15659,567410.00,
500030,AUTORID.FIN ,B ,Q,1.07,1.07,1.01,1.01,1.01,1.06,9,4500,4587.00,
500031,BAJAJ ELECT.,A ,Q,208.00,211.90,203.50,204.05,204.05,208.75,3006,73609,15239429.00,
500032,BAJAJHIND.LT,B ,Q,21.50,21.50,20.60,20.90,20.90,20.85,2004,429258,8968466.00,
